ticker,reason,date_added
366030,liquidity,2025-05-13
204020,liquidity,2025-05-13
227100,liquidity,2025-05-13
010240,liquidity,2025-05-13
263600,liquidity,2025-05-13
034830,liquidity,2025-05-13
007770,liquidity,2025-05-13
037030,liquidity,2025-05-13
093380,liquidity,2025-05-13
093640,liquidity,2025-05-13
160550,liquidity,2025-05-13
038340,liquidity,2025-05-13
168330,liquidity,2025-05-13
323230,liquidity,2025-05-13
000390,liquidity,2025-05-13
065530,liquidity,2025-05-13
007610,liquidity,2025-05-13
054410,liquidity,2025-05-13
004060,liquidity,2025-05-13
040420,liquidity,2025-05-13
445180,liquidity,2025-05-13
023960,liquidity,2025-05-13
016710,liquidity,2025-05-13
149950,liquidity,2025-05-13
287410,liquidity,2025-05-13
040910,liquidity,2025-05-13
014130,liquidity,2025-05-13
104700,liquidity,2025-05-13
109820,liquidity,2025-05-13
263020,liquidity,2025-05-13
290550,liquidity,2025-05-13
088390,liquidity,2025-05-13
004840,liquidity,2025-05-13
174880,liquidity,2025-05-13
035610,liquidity,2025-05-13
217480,liquidity,2025-05-13
094860,liquidity,2025-05-13
377740,liquidity,2025-05-13
002410,liquidity,2025-05-13
068940,liquidity,2025-05-13
110790,liquidity,2025-05-13
007590,liquidity,2025-05-13
054220,liquidity,2025-05-13
001840,liquidity,2025-05-13
043220,liquidity,2025-05-13
120030,liquidity,2025-05-13
036560,liquidity,2025-05-13
001570,liquidity,2025-05-13
079000,liquidity,2025-05-13
079650,liquidity,2025-05-13
140520,liquidity,2025-05-13
015710,liquidity,2025-05-13
096350,liquidity,2025-05-13
308080,liquidity,2025-05-13
347740,liquidity,2025-05-13
095190,liquidity,2025-05-13
060590,liquidity,2025-05-13
073570,liquidity,2025-05-13
103230,liquidity,2025-05-13
008260,liquidity,2025-05-13
001560,liquidity,2025-05-13
016580,liquidity,2025-05-13
256630,liquidity,2025-05-13
033530,liquidity,2025-05-13
267850,liquidity,2025-05-13
268280,liquidity,2025-05-13
270870,liquidity,2025-05-13
083550,liquidity,2025-05-13
001810,liquidity,2025-05-13
143160,liquidity,2025-05-13
376180,liquidity,2025-05-13
072710,liquidity,2025-05-13
003100,liquidity,2025-05-13
017900,liquidity,2025-05-13
000180,liquidity,2025-05-13
376290,liquidity,2025-05-13
027040,liquidity,2025-05-13
057880,liquidity,2025-05-13
016800,liquidity,2025-05-13
214870,liquidity,2025-05-13
101680,liquidity,2025-05-13
091590,liquidity,2025-05-13
051380,liquidity,2025-05-13
045970,liquidity,2025-05-13
216050,liquidity,2025-05-13
369370,liquidity,2025-05-13
017180,liquidity,2025-05-13
013870,liquidity,2025-05-13
134380,liquidity,2025-05-13
104620,liquidity,2025-05-13
010400,liquidity,2025-05-13
004080,liquidity,2025-05-13
053950,liquidity,2025-05-13
177830,liquidity,2025-05-13
308170,liquidity,2025-05-13
058450,liquidity,2025-05-13
102460,liquidity,2025-05-13
299910,liquidity,2025-05-13
146320,liquidity,2025-05-13
238090,liquidity,2025-05-13
002200,liquidity,2025-05-13
258610,liquidity,2025-05-13
151910,liquidity,2025-05-13
475660,liquidity,2025-05-13
000300,liquidity,2025-05-13
001940,liquidity,2025-05-13
109670,liquidity,2025-05-13
005990,liquidity,2025-05-13
093920,liquidity,2025-05-13
049830,liquidity,2025-05-13
115390,liquidity,2025-05-13
001420,liquidity,2025-05-13
131100,liquidity,2025-05-13
092190,liquidity,2025-05-13
123700,liquidity,2025-05-13
078890,liquidity,2025-05-13
